date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:33	336/336	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Mar%202021%2004:48:33%20GMT	https://preview.colorlib.com/theme/kiddy	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy.0.delayed	(from )
10:18:33	12778/12778	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202019%2012:52:41%20GMT	https://preview.colorlib.com/theme/kiddy/	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/index.html	(from )
10:18:33	234/234	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Mar%202021%2004:48:34%20GMT	https://preview.colorlib.com/robots.txt		(from )
10:18:33	66539/66539	---MCZ	200	added ('OK')	text/css	etag:W/%22137cc-591693e196ac0-gzip%22	https://preview.colorlib.com/theme/kiddy/fonts/icomoon/style.css	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/fonts/icomoon/style.css	(from https://preview.colorlib.com/theme/kiddy/)
10:18:33	177678/177678	---M-Z	200	added ('OK')	text/css	etag:%222b60e-59169374dea40-gzip%22	https://preview.colorlib.com/theme/kiddy/css/bootstrap.min.css	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/kiddy/)
10:18:34	15742/15742	---MCZ	200	added ('OK')	text/css	etag:W/%2242f8-59169373ea800-gzip%22	https://preview.colorlib.com/theme/kiddy/css/bootstrap-datepicker.css	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/css/bootstrap-datepicker.css	(from https://preview.colorlib.com/theme/kiddy/)
10:18:34	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%2231fb-59169376c6ec0-gzip%22	https://preview.colorlib.com/theme/kiddy/css/jquery.fancybox.min.css	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/css/jquery.fancybox.min.css	(from https://preview.colorlib.com/theme/kiddy/)
10:18:34	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-59169377bb100-gzip%22	https://preview.colorlib.com/theme/kiddy/css/owl.carousel.min.css	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/kiddy/)
10:18:34	965/965	---M-Z	200	added ('OK')	text/css	etag:%223c5-59169378af340-gzip%22	https://preview.colorlib.com/theme/kiddy/css/owl.theme.default.min.css	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/css/owl.theme.default.min.css	(from https://preview.colorlib.com/theme/kiddy/)
10:18:34	952/952	---MCZ	200	added ('OK')	text/css	etag:W/%224ee-5916942458840-gzip%22	https://preview.colorlib.com/theme/kiddy/fonts/flaticon/font/flaticon.css	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/fonts/flaticon/font/flaticon.css	(from https://preview.colorlib.com/theme/kiddy/)
10:18:35	25948/25948	---MCZ	200	added ('OK')	text/css	etag:W/%22657f-59169372f65c0-gzip%22	https://preview.colorlib.com/theme/kiddy/css/aos.css	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/css/aos.css	(from https://preview.colorlib.com/theme/kiddy/)
10:18:35	37056/37056	---MCZ	200	added ('OK')	text/css	etag:W/%22bfbe-59169379a3580-gzip%22	https://preview.colorlib.com/theme/kiddy/css/style.css	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/css/style.css	(from https://preview.colorlib.com/theme/kiddy/)
10:18:35	12779/12779	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202019%2012:52:41%20GMT	https://preview.colorlib.com/theme/kiddy/index.html	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/index-2.html	(from https://preview.colorlib.com/theme/kiddy/)
